Appl,Browser,CLDR Short Name,Code,DCM,FB,GMail,Goog,Joy,KDDI,SB,Sams,Twtr,Wind,№
54,U+1F634,😴,,,,,,,,—,—,—,—,sleeping face
face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell,face-unwell
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
55,U+1F637,😷,,,,,,,,,,—,,face with medical mask
56,U+1F912,🤒,,,,,,,,—,—,—,—,face with thermometer
57,U+1F915,🤕,,,,,,,,—,—,—,—,face with head-bandage
58,U+1F922,🤢,,,,,,,,—,—,—,—,nauseated face
59,U+1F92E,🤮,,,,,,,,—,—,—,—,face vomiting
60,U+1F927,🤧,,,,,,,,—,—,—,—,sneezing face
61,U+1F975,🥵,,,,,,,,—,—,—,—,hot face
62,U+1F976,🥶,,,,,,,,—,—,—,—,cold face
63,U+1F974,🥴,,,,,,,,—,—,—,—,woozy face
64,U+1F635,😵,,,,,,,,,—,,,face with crossed-out eyes
65,U+1F635 U+200D U+1F4AB,😵‍💫,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,face with spiral eyes
66,U+1F92F,🤯,,,,,,,,—,—,—,—,exploding head
face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat,face-hat
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
67,U+1F920,🤠,,,,,,,,—,—,—,—,cowboy hat face
68,U+1F973,🥳,,,,,,,,—,—,—,—,partying face
69,U+1F978,🥸,,,—,—,,,—,—,—,—,—,disguised face
face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses,face-glasses
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
70,U+1F60E,😎,,,,,,,,,—,—,—,smiling face with sunglasses
71,U+1F913,🤓,,,,,,,,—,—,—,—,nerd face
72,U+1F9D0,🧐,,,,,,,,—,—,—,—,face with monocle
face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned,face-concerned
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
73,U+1F615,😕,,,,,,,,,—,—,—,confused face
74,U+1FAE4,🫤,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ face with diagonal mouth
75,U+1F61F,😟,,,,,,,,,—,—,—,worried face
76,U+1F641,🙁,,,,,,,,—,—,—,—,slightly frowning face
77,U+2639,☹,,,,,,,,—,—,—,—,frowning face
78,U+1F62E,😮,,,,,,,,—,—,—,—,face with open mouth
79,U+1F62F,😯,,,,,,,,—,—,—,—,hushed face
80,U+1F632,😲,,,,,,,,,,—,,astonished face
81,U+1F633,😳,,,,,,,,,,—,,flushed face
82,U+1F97A,🥺,,,,,,,,—,—,—,—,pleading face
83,U+1F979,🥹,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ face holding back tears
84,U+1F626,😦,,,,,,,,—,—,—,—,frowning face with open mouth
85,U+1F627,😧,,,,,,,,—,—,—,—,anguished face
86,U+1F628,😨,,,,,,,,,,—,,fearful face
87,U+1F630,😰,,,,,,,,,,—,,anxious face with sweat
88,U+1F625,😥,,,,,,,,,,—,—,sad but relieved face
89,U+1F622,😢,,,,,,,,,,,,crying face
90,U+1F62D,😭,,,,,,,,,,,,loudly crying face
91,U+1F631,😱,,,,,,,,,,,,face screaming in fear
92,U+1F616,😖,,,,,,,,,,,,confounded face
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
93,U+1F623,😣,,,,,,,,,,,,persevering face
94,U+1F61E,😞,,,,,,,,,,,—,disappointed face
95,U+1F613,😓,,,,,,,,,,,,downcast face with sweat
96,U+1F629,😩,,,,,,,,,—,—,,weary face
97,U+1F62B,😫,,,,,,,,,—,—,,tired face
98,U+1F971,🥱,,,,,,,,—,—,—,—,yawning face
face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative,face-negative
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
99,U+1F624,😤,,,,,,,,,—,—,,face with steam from nose
100,U+1F621,😡,,,,,,,,,,,,pouting face
101,U+1F620,😠,,,,,,,,,,,,angry face
102,U+1F92C,🤬,,,,,,,,—,—,—,—,face with symbols on mouth
103,U+1F608,😈,,,,,,,,—,—,—,—,smiling face with horns
104,U+1F47F,👿,,,,,,,,,,—,,angry face with horns
105,U+1F480,💀,,,,,,,,,,—,,skull
106,U+2620,☠,,,,,,,,—,—,—,—,skull and crossbones
face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume,face-costume
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
107,U+1F4A9,💩,,,,,,,,,,—,,pile of poo
108,U+1F921,🤡,,,,,,,,—,—,—,—,clown face
109,U+1F479,👹,,,,,,,,,—,—,,ogre
110,U+1F47A,👺,,,,,,,,,—,—,,goblin
111,U+1F47B,👻,,,,,,,,,,—,,ghost
112,U+1F47D,👽,,,,,,,,,,—,,alien
113,U+1F47E,👾,,,,,,,,,,—,,alien monster
114,U+1F916,🤖,,,,,,,,—,—,—,—,robot
cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face,cat-face
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
115,U+1F63A,😺,,,,,,,,,—,—,,grinning cat
116,U+1F638,😸,,,,,,,,,—,—,,grinning cat with smiling eyes
117,U+1F639,😹,,,,,,,,,—,—,,cat with tears of joy
118,U+1F63B,😻,,,,,,,,,—,—,,smiling cat with heart-eyes
119,U+1F63C,😼,,,,,,,,,—,—,,cat with wry smile
120,U+1F63D,😽,,,,,,,,,—,—,,kissing cat
121,U+1F640,🙀,,,,,,,,,—,—,,weary cat
122,U+1F63F,😿,,,,,,,,,—,—,,crying cat
123,U+1F63E,😾,,,,,,,,,—,—,,pouting cat
monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face,monkey-face
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
124,U+1F648,🙈,,,,,,,,,—,—,,see-no-evil monkey
125,U+1F649,🙉,,,,,,,,,—,—,,hear-no-evil monkey
126,U+1F64A,🙊,,,,,,,,,—,—,,speak-no-evil monkey
emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion,emotion
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
127,U+1F48B,💋,,,,,,,,,,,,kiss mark
128,U+1F48C,💌,,,,,,,,,—,,,love letter
129,U+1F498,💘,,,,,,,,,,—,,heart with arrow
130,U+1F49D,💝,,,,,,,,,,—,,heart with ribbon
131,U+1F496,💖,,,,,,,,,—,—,,sparkling heart
132,U+1F497,💗,,,,,,,,,,—,—,growing heart
133,U+1F493,💓,,,,,,,,,,,,beating heart
134,U+1F49E,💞,,,,,,,,,—,—,,revolving hearts
135,U+1F495,💕,,,,,,,,,—,,,two hearts
136,U+1F49F,💟,,,,,,,,,,—,—,heart decoration
137,U+2763,❣,,,,,,,,—,—,—,—,heart exclamation
138,U+1F494,💔,,,,,,,,,,,,broken heart
139,U+2764 U+FE0F U+200D U+1F525,❤️‍🔥,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,heart on fire
140,U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,mending heart
141,U+2764,❤,,,,,,,,,,,,red heart
142,U+1F9E1,🧡,,,,,,,,—,—,—,—,orange heart
143,U+1F49B,💛,,,,,,,,,,—,,yellow heart
144,U+1F49A,💚,,,,,,,,,,—,,green heart
145,U+1F499,💙,,,,,,,,,,—,,blue heart
146,U+1F49C,💜,,,,,,,,,,—,,purple heart
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
147,U+1F90E,🤎,,,,,,,,—,—,—,—,brown heart
148,U+1F5A4,🖤,,,,,,,,—,—,—,—,black heart
149,U+1F90D,🤍,,,,,,,,—,—,—,—,white heart
150,U+1F4AF,💯,,,,,,,,,—,—,,hundred points
151,U+1F4A2,💢,,,,,,,,,,,,anger symbol
152,U+1F4A5,💥,,,,,,,,,—,,,collision
153,U+1F4AB,💫,,,,,,,,,—,—,,dizzy
154,U+1F4A6,💦,,,,,,,,,,,,sweat droplets
155,U+1F4A8,💨,,,,,,,,,,,,dashing away
156,U+1F573,🕳,,,,,,,,—,—,—,—,hole
157,U+1F4A3,💣,,,,,,,,,,,,bomb
158,U+1F4AC,💬,,,,,,,,,—,—,,speech balloon
159,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,,,,,,,,—,—,—,—,eye in speech bubble
160,U+1F5E8,🗨,,,,,,,,—,—,—,—,left speech bubble
161,U+1F5EF,🗯,,,,,,,,—,—,—,—,right anger bubble
162,U+1F4AD,💭,,,,,,,,—,—,—,—,thought balloon
163,U+1F4A4,💤,,,,,,,,,,,,zzz
People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body,People & Body
hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open,hand-fingers-open
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
164,U+1F44B,👋,,,,,,,,,,—,,waving hand
165,U+1F91A,🤚,,,,,,,,—,—,—,—,raised back of hand
166,U+1F590,🖐,,,,,,,,—,—,—,—,hand with fingers splayed
167,U+270B,✋,,,,,,,,,,,,raised hand
168,U+1F596,🖖,,,,,,,,—,—,—,—,vulcan salute
169,U+1FAF1,🫱,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ rightwards hand
170,U+1FAF2,🫲,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ leftwards hand
171,U+1FAF3,🫳,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ palm down hand
172,U+1FAF4,🫴,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ palm up hand
hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial,hand-fingers-partial
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
173,U+1F44C,👌,,,,,,,,,,—,,OK hand
174,U+1F90C,🤌,,,—,—,,,—,—,—,—,—,pinched fingers
175,U+1F90F,🤏,,,,,,,,—,—,—,—,pinching hand
176,U+270C,✌,,,,,,,,,,,,victory hand
177,U+1F91E,🤞,,,,,,,,—,—,—,—,crossed fingers
178,U+1FAF0,🫰,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ hand with index finger and thumb crossed
179,U+1F91F,🤟,,,,,,,,—,—,—,—,love-you gesture
180,U+1F918,🤘,,,,,,,,—,—,—,—,sign of the horns
181,U+1F919,🤙,,,,,,,,—,—,—,—,call me hand
hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger,hand-single-finger
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
182,U+1F448,👈,,,,,,,,,,—,,backhand index pointing left
183,U+1F449,👉,,,,,,,,,,—,,backhand index pointing right
184,U+1F446,👆,,,,,,,,,,—,,backhand index pointing up
185,U+1F595,🖕,,,,,,,,—,—,—,—,middle finger
186,U+1F447,👇,,,,,,,,,,—,,backhand index pointing down
187,U+261D,☝,,,,,,,,,,—,,index pointing up
188,U+1FAF5,🫵,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ index pointing at the viewer
hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed,hand-fingers-closed
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
189,U+1F44D,👍,,,,,,,,,,,,thumbs up
190,U+1F44E,👎,,,,,,,,,,—,,thumbs down
191,U+270A,✊,,,,,,,,,,,,raised fist
192,U+1F44A,👊,,,,,,,,,,,,oncoming fist
193,U+1F91B,🤛,,,,,,,,—,—,—,—,left-facing fist
194,U+1F91C,🤜,,,,,,,,—,—,—,—,right-facing fist
hands,hands,hands,hands,hands,hands,hands,hands,hands,hands,hands,hands,hands,hands,hands
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
195,U+1F44F,👏,,,,,,,,,,—,,clapping hands
196,U+1F64C,🙌,,,,,,,,,,—,,raising hands
197,U+1FAF6,🫶,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ heart hands
198,U+1F450,👐,,,,,,,,,,—,—,open hands
199,U+1F932,🤲,,,,,,,,—,—,—,—,palms up together
200,U+1F91D,🤝,,,,,,,,—,—,—,—,handshake
201,U+1F64F,🙏,,,,,,,,,,—,,folded hands
hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop,hand-prop
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
202,U+270D,✍,,,,,,,,—,—,—,—,writing hand
203,U+1F485,💅,,,,,,,,,,—,,nail polish
204,U+1F933,🤳,,,,,,,,—,—,—,—,selfie
body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts,body-parts
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
205,U+1F4AA,💪,,,,,,,,,,—,,flexed biceps
206,U+1F9BE,🦾,,,,,,,,—,—,—,—,mechanical arm
207,U+1F9BF,🦿,,,,,,,,—,—,—,—,mechanical leg
208,U+1F9B5,🦵,,,,,,,,—,—,—,—,leg
209,U+1F9B6,🦶,,,,,,,,—,—,—,—,foot
210,U+1F442,👂,,,,,,,,,,,,ear
211,U+1F9BB,🦻,,,,,,,,—,—,—,—,ear with hearing aid
212,U+1F443,👃,,,,,,,,,,—,,nose
213,U+1F9E0,🧠,,,,,,,,—,—,—,—,brain
214,U+1FAC0,🫀,,,—,—,,,—,—,—,—,—,anatomical heart
215,U+1FAC1,🫁,,,—,—,,,—,—,—,—,—,lungs
216,U+1F9B7,🦷,,,,,,,,—,—,—,—,tooth
217,U+1F9B4,🦴,,,,,,,,—,—,—,—,bone
218,U+1F440,👀,,,,,,,,,,,,eyes
219,U+1F441,👁,,,,,,,,—,—,—,—,eye
220,U+1F445,👅,,,,,,,,,—,—,,tongue
221,U+1F444,👄,,,,,,,,,,—,,mouth
222,U+1FAE6,🫦,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,⊛ biting lip
person,person,person,person,person,person,person,person,person,person,person,person,person,person,person
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
223,U+1F476,👶,,,,,,,,,,—,,baby
224,U+1F9D2,🧒,,,,,,,,—,—,—,—,child
225,U+1F466,👦,,,,,,,,,,—,—,boy
226,U+1F467,👧,,,,,,,,,,—,—,girl
227,U+1F9D1,🧑,,,,,,,,—,—,—,—,person
228,U+1F471,👱,,,,,,,,,,—,,person: blond hair
229,U+1F468,👨,,,,,,,,,,—,,man
230,U+1F9D4,🧔,,,,,,,,—,—,—,—,person: beard
231,U+1F9D4 U+200D U+2642 U+FE0F,🧔‍♂️,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,man: beard
232,U+1F9D4 U+200D U+2640 U+FE0F,🧔‍♀️,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,… …,woman: beard
233,U+1F468 U+200D U+1F9B0,👨‍🦰,,,,,,,,—,—,—,—,man: red hair
234,U+1F468 U+200D U+1F9B1,👨‍🦱,,,,,,,,—,—,—,—,man: curly hair
235,U+1F468 U+200D U+1F9B3,👨‍🦳,,,,,,,,—,—,—,—,man: white hair
236,U+1F468 U+200D U+1F9B2,👨‍🦲,,,,,,,,—,—,—,—,man: bald
237,U+1F469,👩,,,,,,,,,,—,,woman
238,U+1F469 U+200D U+1F9B0,👩‍🦰,,,,,,,,—,—,—,—,woman: red hair
239,U+1F9D1 U+200D U+1F9B0,🧑‍🦰,,,—,—,,,—,—,—,—,—,person: red hair
240,U+1F469 U+200D U+1F9B1,👩‍🦱,,,,,,,,—,—,—,—,woman: curly hair
241,U+1F9D1 U+200D U+1F9B1,🧑‍🦱,,,—,—,,,—,—,—,—,—,person: curly hair
242,U+1F469 U+200D U+1F9B3,👩‍🦳,,,,,,,,—,—,—,—,woman: white hair
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
243,U+1F9D1 U+200D U+1F9B3,🧑‍🦳,,,—,—,,,—,—,—,—,—,person: white hair
244,U+1F469 U+200D U+1F9B2,👩‍🦲,,,,,,,,—,—,—,—,woman: bald
245,U+1F9D1 U+200D U+1F9B2,🧑‍🦲,,,—,—,,,—,—,—,—,—,person: bald
246,U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,,,,,,,,—,—,—,—,woman: blond hair
247,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,,,,,,,,—,—,—,—,man: blond hair
248,U+1F9D3,🧓,,,,,,,,—,—,—,—,older person
249,U+1F474,👴,,,,,,,,,,—,,old man
250,U+1F475,👵,,,,,,,,,,—,,old woman
person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture,person-gesture
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
251,U+1F64D,🙍,,,,,,,,,—,—,,person frowning
252,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,,,,,,,,—,—,—,—,man frowning
253,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,,,,,,,,—,—,—,—,woman frowning
254,U+1F64E,🙎,,,,,,,,,—,—,,person pouting
255,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,,,,,,,,—,—,—,—,man pouting
256,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,,,,,,,,—,—,—,—,woman pouting
257,U+1F645,🙅,,,,,,,,,,—,,person gesturing NO
258,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,,,,,,,,—,—,—,—,man gesturing NO
259,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,,,,,,,,—,—,—,—,woman gesturing NO
260,U+1F646,🙆,,,,,,,,,,—,,person gesturing OK
261,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,,,,,,,,—,—,—,—,man gesturing OK
262,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,,,,,,,,—,—,—,—,woman gesturing OK
263,U+1F481,💁,,,,,,,,,,—,—,person tipping hand
264,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,,,,,,,,—,—,—,—,man tipping hand
265,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,,,,,,,,—,—,—,—,woman tipping hand
266,U+1F64B,🙋,,,,,,,,,—,—,,person raising hand
267,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,,,,,,,,—,—,—,—,man raising hand
268,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,,,,,,,,—,—,—,—,woman raising hand
269,U+1F9CF,🧏,,,,,,,,—,—,—,—,deaf person
270,U+1F9CF U+200D U+2642 U+FE0F,🧏‍♂️,,,,—,,,,—,—,—,—,deaf man
№,Code,Browser,Appl,Goog,FB,Wind,Twtr,Joy,Sams,GMail,SB,DCM,KDDI,CLDR Short Name
271,U+1F9CF U+200D U+2640 U+FE0F,🧏‍♀️,,,,—,,,,—,—,—,—,deaf woman
272,U+1F647,🙇,,,,,,,,,,—,,person bowing
273,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,,,,,,,,—,—,—,—,man bowing
274,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,,,,,,,,—,—,—,—,woman bowing
