job_id,title,description
140906257,deli clerk customer service,polite prompt knowledgeable|preparing order party tray|deli clerk high|ability comprehend follow procedure regulation food handling sanitation
140974158,roll off truck driver class b cdl 3 000 bonus,operate manual automatic control accordance safety policy procedure lift load refuse operate compactor dispose collected material designated facility|actively participate resop program|good management ensure assigned responsibility completed efficient safe manner|good follow ability adheres schedule follows challenge arise
140923731,field engineer 3,perform advanced troubleshooting repair assigned equipment|communicate hq zone area level initiative|effectively communicate partner teammate colleague|serve member account community key account|competitor information market trend|serve key member leader account community assigned account|exhibit boundary collaboration commercial sale team region zone support business growth|electrical engineering biomedical engineering mechanical engineering servicing electrical equipment military servicing electrical equipment high servicing electrical equipment|diagnosing repairing mechanical electromechanical electronic equipment|web microsoft suite product|willingness rotating schedule weekend critical issue coverage necessary|meet health human service environment health safety applicable regulatory|complete planned quality ehs compliance training defined deadline|identify report personal quality compliance concern immediately quality organization|ensure timely dispatch closure applicable|identify report unsafe workplace condition unsafe act ehs organization|participate continuous improvement activity identifying appropriately escalating process product quality gap providing solution possible|training multiple modality|operate efficiency sense urgency|willingness learn adapt changing environment|ability deliver result uncertain environment|quality specific goal
140886422,accs community connector,fully funded employer sponsored retirement plan contribution funded plan|voluntary life critical care insurance|referral annual cap|working adult psychiatric condition|preference given bilingual bicultural lived psychiatric condition|keywords accscc outreach worker social worker mental health psychology human service service service|late night shift weekend rotating
140946969,pharmacy informatics manager,oversees operation pharmacy informatics team multi task issue problem occur|authority support daily activity|authority undertake recommend following action hiring termination corrective action performance review|report indirect report|decision making ability decision significant broad implication management operation major department multiple department|independence action ability set goal priority functional area|recommendation department policy practice program|manager director provides broad guidance overall|team ability act team leader small project group creating collaborative respectful team environment improving workflow|result impact operation department
140911043,decommissioning and dismantlement assistant project manager,support project manager project execution managing internal deliverable supplier vendor deliverable meet geh commitment|participate ehs radiation protection schedule routine meeting point geh area|monitor execution schedule provide routine progress report|perform relevant assigned|ability pas fitness site security unescorted access nuclear plant site|knowledge nuclear tooling design engineering supplier|proven capability ability motivate achieve result|sigma black belt ge
140870380,diagnostic tech ii,evaluates radiograph image quality completeness|responds patient physical psychological|explains procedure clear concise manner causing unnecessary anxiety|proper hand hygiene patient|observes patient condition report change nurse physician|new hire provide bls|american heart association aha|recommendation solving problem moderate complexity importance|independence action ability follow precedent procedure|set priority organize general guideline|progress monitored supervisor manager|team ability collaboratively small team improve operation immediate group offering idea identifying issue respecting team member|department description diem
140975759,industrial electrician westfield ma,execute preventive corrective maintenance order assigned|cmms program properly document activity actual performed|prioritize schedule plan follow directed|assigned shop clean general mechanical maintenance general facility support|knowledge tool equipment material common electrical trade|verbal written communication|allen bradley plc hardware plc programming hmi graphic design|continued professional development
140928811,asbestos worker,ability perform inside area varying dimension involving squatting crawling possible extended period|project town travel|diversity scheduled non scheduled project physical demand environmental condition vary significantly depending project|outside round type weather|environment extreme nature like environmental condition heat cold hazardous chemical loud noise dangerous equipment long
140946982,evs associate public,continues shift report incomplete maintenance issue|delivers box sealing designated area delivers compactor area|department procedure preparation selection cleaning solution report low supply|report observed hazard immediate physical environment appropriate personnel|basic familiarity computer|ability navigate basic level web based|monitored supervisor manager|team leader delivers soiled mop cleaning cloth linen designated area|adheres infection control safety environmental transport department policy procedure|departmental training activity meeting
