Compass Role,Table 2 Role
Hebden Hey Team (Booking Secretary),District Administrator
Active Support Manager - Alfrey Activity Centre,Scout Active Support Manager
Activity Centre Staff,
Administrator - Compass Statistical Analysis (England),HQ Administrator
Administrator - Compass Statistical Analysis (NI),HQ Administrator
Administrator - Compass Statistical Analysis (Overseas),HQ Administrator
Administrator - Compass Statistical Analysis (Scotland),HQ Administrator
Administrator - Compass Statistical Analysis (Wales),HQ Administrator
API Marketing,
Area Administrator,Area Administrator
Area Adviser,Area Adviser
Area Adviser - Archery,Area Adviser
Area Adviser - Canoeing,Area Adviser
Area Adviser - Caving,Area Adviser
Area Adviser - Climbing,Area Adviser
Area Adviser - Creative Activities,Area Adviser
Area Adviser - Development,Area Adviser
Area Adviser - Duke of Edinburgh's Award,Area Adviser
Area Adviser - Inclusion,Area Adviser
Area Adviser - International,Area Adviser
"Area Adviser - International, Activities",Area Adviser
Area Adviser - Mountain Activities,Area Adviser
Area Adviser - Shooting,Area Adviser
Area Adviser - Snowsports,Area Adviser
Area Adviser - Special Needs,Area Adviser
Area Adviser - Technology,Area Adviser
Area Adviser - Water Activities,Area Adviser
Area Appointments Advisory Committee Member,Area Appointment Advisory Committee Member
Area Appointments Chair,Area Appointments Chair
Area Appointments Secretary,Area Appointments Secretary
Area Assessor,Area Assessor
Area Assessor - Archery - Without Compound Bows,Area Assessor
"Area Assessor - Archery - Without Compound Bows, 527235",Area Assessor
Area Assessor - Bell Boating - B2+ Waters,Area Assessor
Area Assessor - Canoeing - Open Inland A Waters,Area Assessor
"Area Assessor - Canoeing - Open Inland A Waters, Canoeing - Sea B1 Waters",Area Assessor
Area Assessor - Canoeing - Open Inland B1 Waters,Area Assessor
"Area Assessor - Canoeing - Open Inland B1 Waters, Canoeing - River B1 Waters",Area Assessor
Area Assessor - Canoeing - Open Inland B2 Waters,Area Assessor
Area Assessor - Canoeing - Open Inland B3 Waters,Area Assessor
Area Assessor - Canoeing - River A Waters,Area Assessor
Area Assessor - Canoeing - River B1 Waters,Area Assessor
"Area Assessor - Canoeing - River B1 Waters, Canoeing - Open Inland B1 Waters",Area Assessor
"Area Assessor - Canoeing - River B1 Waters, Kayaking - River B1 Waters, Rafting (Traditional) - B1 W",Area Assessor
Area Assessor - Canoeing - River B2 Waters,Area Assessor
Area Assessor - Canoeing - River B3 Waters,Area Assessor
Area Assessor - Canoeing - Sea B1 Waters,Area Assessor
"Area Assessor - Canoeing - Sea B2 Waters, Canoeing - Sea B3 Waters",Area Assessor
Area Assessor - Caving - No Vertical Pitches,Area Assessor
Area Assessor - Caving - With SRT for the Group,Area Assessor
Area Assessor - Caving (CIC),Area Assessor
Area Assessor - Climbing,Area Assessor
Area Assessor - Climbing and Abseiling - Artifical Top Rope,Area Assessor
Area Assessor - Climbing and Abseiling - Multipitch Climbing,Area Assessor
Area Assessor - Climbing and Abseiling - Natural Lead Climbing,Area Assessor
Area Assessor - Climbing and Abseiling - Natural Top Rope,Area Assessor
Area Assessor - Dinghy Sailing - A Waters,Area Assessor
"Area Assessor - Dinghy Sailing - A Waters, Keelboating - B1 Waters, Snowsports - On Piste",Area Assessor
Area Assessor - Dinghy Sailing - B3 Waters,Area Assessor
Area Assessor - Hill Walking - Terrain 1 Summer,Area Assessor
Area Assessor - Hill Walking - Terrain 2 Summer,Area Assessor
"Area Assessor - Hill Walking - Terrain 2 Summer, Hill Walking - Terrain 2 Winter",Area Assessor
Area Assessor - Hill Walking - Terrain 2 Winter,Area Assessor
Area Assessor - Hill Walking (Summer and Winter),Area Assessor
Area Assessor - Hillwalking - Terrain 2 Summer,Area Assessor
Area Assessor - Kayaking - Open Inland A Waters,Area Assessor
Area Assessor - Kayaking - Open Inland B1 Waters,Area Assessor
"Area Assessor - Kayaking - Open Inland B1 Waters, Kayaking - Open Inland B2 Waters",Area Assessor
Area Assessor - Kayaking - Open Inland B2 Waters,Area Assessor
"Area Assessor - Kayaking - Open Inland B3 Waters, Kayaking - Open Inland A Waters",Area Assessor
Area Assessor - Kayaking - River B1 Waters,Area Assessor
"Area Assessor - Kayaking - River B1 Waters, Kayaking - Open Inland B1 Waters",Area Assessor
"Area Assessor - Kayaking - River B1 Waters, Kayaking - River B2 Waters",Area Assessor
Area Assessor - Kayaking - River B2 Waters,Area Assessor
Area Assessor - Kayaking - River B3 Waters,Area Assessor
"Area Assessor - Kayaking - River B3 Waters, Kayaking - River A Waters",Area Assessor
Area Assessor - Kayaking - Sea B1 Waters,Area Assessor
